"x"
"Cholera"|"001"
"Typhoid and paratyphoid fevers"|"002"
"Other salmonella infections"|"003"
"Shigellosis"|"004"
"Other food poisoning (bacterial)"|"005"
"Amebiasis"|"006"
"Other protozoal intestinal diseases"|"007"
"Intestinal infections due to other organisms"|"008"
"Ill-defined intestinal infections"|"009"
"Primary tuberculous infection"|"010"
"Pulmonary tuberculosis"|"011"
"Other respiratory tuberculosis"|"012"
"Tuberculosis of meninges and central nervous system"|"013"
"Tuberculosis of intestines, peritoneum, and mesenteric glands"|"014"
"Tuberculosis of bones and joints"|"015"
"Tuberculosis of genitourinary system"|"016"
"Tuberculosis of other organs"|"017"
"Miliary tuberculosis"|"018"
"Plague"|"020"
"Tularemia"|"021"
"Anthrax"|"022"
"Brucellosis"|"023"
"Glanders"|"024"
"Melioidosis"|"025"
"Rat-bite fever"|"026"
"Other zoonotic bacterial diseases"|"027"
"Leprosy"|"030"
"Diseases due to other mycobacteria"|"031"
"Diphtheria"|"032"
"Whooping cough"|"033"
"Streptococcal sore throat and scarlet fever"|"034"
"Erysipelas"|"035"
"Meningococcal infection"|"036"
"Tetanus"|"037"
"Septicemia"|"038"
"Actinomycotic infections"|"039"
"Other bacterial diseases"|"040"
"Bacterial infection in conditions classified elsewhere and of unspecified site"|"041"
"Human immunodeficiency virus [HIV] disease"|"042"
"Acute poliomyelitis"|"045"
"Slow virus infections and prion diseases of central nervous system"|"046"
"Meningitis due to enterovirus"|"047"
"Other enterovirus diseases of central nervous system"|"048"
"Other non-arthropod-borne viral diseases of central nervous system"|"049"
"Smallpox"|"050"
"Cowpox and paravaccinia"|"051"
"Chickenpox"|"052"
"Herpes zoster"|"053"
"Herpes simplex"|"054"
"Measles"|"055"
"Rubella"|"056"
"Other viral exanthemata"|"057"
"Other human herpesvirus"|"058"
"Other poxvirus infections"|"059"
"Yellow fever"|"060"
"Dengue"|"061"
"Mosquito-borne viral encephalitis"|"062"
"Tick-borne viral encephalitis"|"063"
"Viral encephalitis transmitted by other and unspecified arthropods"|"064"
"Arthropod-borne hemorrhagic fever"|"065"
"Other arthropod-borne viral diseases"|"066"
"Viral hepatitis"|"070"
"Rabies"|"071"
"Mumps"|"072"
"Ornithosis"|"073"
"Specific diseases due to Coxsackie virus"|"074"
"Infectious mononucleosis"|"075"
"Trachoma"|"076"
"Other diseases of conjunctiva due to viruses and Chlamydiae"|"077"
"Other diseases due to viruses and Chlamydiae"|"078"
"Viral and chlamydial infection in conditions classified elsewhere and of unspecified site"|"079"
"Louse-borne [epidemic] typhus"|"080"
"Other typhus"|"081"
"Tick-borne rickettsioses"|"082"
"Other rickettsioses"|"083"
"Malaria"|"084"
"Leishmaniasis"|"085"
"Trypanosomiasis"|"086"
"Relapsing fever"|"087"
"Other arthropod-borne diseases"|"088"
"Congenital syphilis"|"090"
"Early syphilis, symptomatic"|"091"
"Early syphilis, latent"|"092"
"Cardiovascular syphilis"|"093"
"Neurosyphilis"|"094"
"Other forms of late syphilis, with symptoms"|"095"
"Late syphilis, latent"|"096"
"Other and unspecified syphilis"|"097"
"Gonococcal infections"|"098"
"Other venereal diseases"|"099"
"Leptospirosis"|"100"
"Vincent's angina"|"101"
"Yaws"|"102"
"Pinta"|"103"
"Other spirochetal infection"|"104"
"Dermatophytosis"|"110"
"Dermatomycosis, other and unspecified"|"111"
"Candidiasis"|"112"
"Coccidioidomycosis"|"114"
"Histoplasmosis"|"115"
"Blastomycotic infection"|"116"
"Other mycoses"|"117"
"Opportunistic mycoses"|"118"
"Schistosomiasis [bilharziasis]"|"120"
"Other trematode infections"|"121"
"Echinococcosis"|"122"
"Other cestode infection"|"123"
"Trichinosis"|"124"
"Filarial infection and dracontiasis"|"125"
"Ancylostomiasis and necatoriasis"|"126"
"Other intestinal helminthiases"|"127"
"Other and unspecified helminthiases"|"128"
"Intestinal parasitism, unspecified"|"129"
"Toxoplasmosis"|"130"
"Trichomoniasis"|"131"
"Pediculosis and phthirus infestation"|"132"
"Acariasis"|"133"
"Other infestation"|"134"
"Sarcoidosis"|"135"
"Other and unspecified infectious and parasitic diseases"|"136"
"Late effects of tuberculosis"|"137"
"Late effects of acute poliomyelitis"|"138"
"Late effects of other infectious and parasitic diseases"|"139"
"Malignant neoplasms, without specification of site"|"199"
"Neuroendocrine tumors"|"209"
"Neoplasms of unspecified nature"|"239"
"Malignant neoplasm of lip"|"140"
"Malignant neoplasm of tongue"|"141"
"Malignant neoplasm of major salivary glands"|"142"
"Malignant neoplasm of gum"|"143"
"Malignant neoplasm of floor of mouth"|"144"
"Malignant neoplasm of other and unspecified parts of mouth"|"145"
"Malignant neoplasm of oropharynx"|"146"
"Malignant neoplasm of nasopharynx"|"147"
"Malignant neoplasm of hypopharynx"|"148"
"Malignant neoplasm of other and ill-defined sites within the lip, oral cavity, and pharynx"|"149"
"Malignant neoplasm of esophagus"|"150"
"Malignant neoplasm of stomach"|"151"
"Malignant neoplasm of small intestine, including duodenum"|"152"
"Malignant neoplasm of colon"|"153"
"Malignant neoplasm of rectum, rectosigmoid junction, and anus"|"154"
"Malignant neoplasm of liver and intrahepatic bile ducts"|"155"
